Time Start: 6/6/2014 9:14:08 AM
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AR_14        BI_DST_IP1LG_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        BI_DST_IP_LG_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        BI_DST_IUALL_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        BI_DST_IUP1_VW  UNUNI
SET_CNTRL_REC 623UU                AR_14        BI_DST_IUPAY_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        BI_DST_IUP_VW   UNUNI
SET_CNTRL_REC 623UU                AR_14        BI_DST_IUREC_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        BI_DST_IUR_VW   UNUNI
SET_CNTRL_REC 623UU                AR_14        DSTCD_DISOM_LNG UNUNI
SET_CNTRL_REC 623UU                AR_14        DSTCD_DIS_OM_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DSTCD_REV_OM_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DSTCD_SUR_OM_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CDDFRVW_LNG UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CDDISVW_LNG UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CDGSTVW_LNG UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CDREVVW_LNG UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CDSUREV_LNG UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CDSURVW_LNG UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CDSUTVW_LNG UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CDUARVW_LNG UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CD_DDS_LNVW UNUNI

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AR_14        DST_CODE_AR_VW  UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_AR_VW2 UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_CDP_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_CTL_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_CV_VW  UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DB_VW  UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DDI_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DDS_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DFR_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DIS_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DMB_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DMD_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DMJ_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DML_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DMR_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DRV_V2 UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DRV_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_DSU_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_GST_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_LG     UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_RDR_VW UNUNI

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AR_14        DST_CODE_REV_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_RFD_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_RL_VW  UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_ROU_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_SUR_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_SUT_VW UNUNI
